,GALAXY_AGN,GALAXY_AGN_BROADLINE,GALAXY_BROADLINE,GALAXY_NORMAL,GALAXY_STARBURST,GALAXY_STARFORMING,QSO_AGN,QSO_AGN_BROADLINE,QSO_BROADLINE,QSO_NORMAL,QSO_STARBURST,QSO_STARBURST_BROADLINE,QSO_STARFORMING,STAR_A0,STAR_A1,STAR_A2,STAR_A4,STAR_A5,STAR_A6,STAR_A8,STAR_A9,STAR_A_METALLIC,STAR_B0,STAR_B1,STAR_B2_B2_5,STAR_B3,STAR_B5,STAR_B8,STAR_B9_B9_5,STAR_BROWN_DWARF_L,STAR_CV,STAR_F0,STAR_F2,STAR_F3,STAR_F5,STAR_F6,STAR_F8,STAR_F9,STAR_G0_G0_5,STAR_G1,STAR_G3,STAR_G4,STAR_G5,STAR_G8,STAR_G9,STAR_K0,STAR_K1,STAR_K2,STAR_K3,STAR_K4,STAR_K5,STAR_M0,STAR_M1,STAR_M2,STAR_M3,STAR_M4_M4_5,STAR_M5,STAR_M6,STAR_M8,STAR_O8,STAR_SUBDWARF_F,STAR_WHITE_DWARF
STAR_K2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,20,309,4,10,0,1,0,0,0,0,0,0,0,0,0,0
STAR_K3,0,0,0,8,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,7,20,4,31,37,34,3405,40,136,1,0,0,0,0,0,1,10,6,0,0
STAR_K4,0,0,1,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,3,0,0,1,1,0,3,0,35,0,153,0,5,3,47,18,23,3361,24,6,0,8,0,0,0,2,32,1,0,0
STAR_K5,0,0,1,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,2,0,1,0,10,2,75,64,3481,9,74,2,0,0,0,1,1,9,0,2
STAR_M0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,34,2,0,0,0,0,0,0,0,0,0
STAR_M1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,40,2,2750,0,109,16,3,0,0,0,0,0
STAR_M2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,6,0,6,0,45,1,0,1,0,0,0,0,0
STAR_M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,1608,75,4,0,0,0,0,0
STAR_M4_M4_5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,14,4,189,2881,101,0,0,1,0,1
STAR_M5,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9,1,14,236,3415,57,0,2,0,1
STAR_M6,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,0,2,580,6,0,1,2
STAR_M8,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,491,2,0,1
STAR_O8,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,28,2,10,25,1,3,1,0,0,0,28,0,5,0,0,0,0,0,1,0,4,0,7,0,3,0,0,0,1,2,2,0,0,0,0,0,0,1,3,991,0,3
STAR_SUBDWARF_F,0,0,0,3,0,0,0,0,0,0,0,0,0,1,11,2,11,1,1,3,0,1,0,0,0,0,5,1,0,0,0,25,19,2,0,4,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,4
STAR_WHITE_DWARF,0,0,2,8,0,0,0,0,0,7,0,0,0,1,1,2,27,1,0,1,41,10,1,0,2,10,0,1,0,2,43,3,11,0,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,3,6,3553
