specObjID,class,subClass,z,zWarning,snMedian
2028876919990151168,GALAXY,STARFORMING,0.1563758,0,8.177338
2028877469745965056,GALAXY,STARFORMING,0.07854196,0,18.33158
2028877744623872000,GALAXY,STARFORMING,0.07113755,0,16.91106
2028878294379685888,GALAXY,BROADLINE,0.05621212,0,29.11907
2028878569257592832,GALAXY,null,0.1580925,0,13.78357
2028878844135499776,GALAXY,null,0.1562718,0,9.727125
2028879119013406720,GALAXY,STARBURST,0.1007321,0,9.806757
2028879393891313664,GALAXY,null,0.4669197,0,2.753589
2028879668769220608,GALAXY,STARFORMING,0.06885797,0,5.660192
2028879943647127552,GALAXY,null,0.02330213,0,30.42748
2028880218525034496,GALAXY,null,0.09982666,0,8.029823
2028880493402941440,GALAXY,STARFORMING,0.06906062,0,14.46543
2028880768280848384,QSO,BROADLINE,1.637825,0,9.516706
2028881592914569216,GALAXY,null,0.4087605,0,4.397936
2028881867792476160,GALAXY,STARFORMING,0.2232228,0,7.709603
2028882142670383104,GALAXY,STARFORMING,0.1365882,0,10.59775
2028882417548290048,GALAXY,null,0.1176041,0,6.914584
2028882692426196992,QSO,STARBURST BROADLINE,0.1558955,0,10.79347
2028883242182010880,GALAXY,STARBURST,0.003405266,0,5.864618
2028883517059917824,GALAXY,null,0.4612094,0,2.638551
2028884066815731712,STAR,F5,0.001213854,0,20.62797
2028884341693638656,GALAXY,null,0.2360813,0,7.902295
2028884616571545600,GALAXY,STARFORMING,0.1632829,0,13.74008
2028884891449452544,GALAXY,null,0.1964118,0,9.79954
2028885441205266432,GALAXY,STARFORMING,0.09856612,0,21.0886
2028885716083173376,GALAXY,STARFORMING,0.1931247,0,11.98663
2028885990961080320,GALAXY,null,0.1497673,0,12.98203
2028886265838987264,GALAXY,null,0.08547916,0,21.52433
2028886540716894208,GALAXY,null,0.1493072,0,12.74652
2028886815594801152,GALAXY,null,0.3970285,0,4.201321
2028887090472708096,GALAXY,null,0.07764743,0,22.95114
2028887365350615040,GALAXY,null,0.2158737,0,8.653857
2028887640228521984,GALAXY,STARFORMING,0.1815501,0,9.704257
2028888189984335872,QSO,BROADLINE,1.647597,0,8.83871
2028888464862242816,GALAXY,STARFORMING,0.05590999,0,10.44209
4457673396835342336,GALAXY,null,0.4538338,0,2.439648
4457673671713249280,GALAXY,null,0.3558837,0,9.11305
4457673946591156224,STAR,A1III (225180),-0.000409078,0,6.431638
4457674221469063168,STAR,F8V (G_243-63),-0.0008280423,0,6.072654
4457674496346970112,GALAXY,null,0.4923443,0,5.255393
4457674771224877056,QSO,BROADLINE,3.22509,0,9.217185
4457675046102784000,GALAXY,null,0.4570554,0,3.564873
4457675320980690944,GALAXY,null,0.2896019,0,10.58361
4457675595858597888,GALAXY,null,0.5373538,0,2.443632
4457676420492318720,STAR,F3/F5V (30743),-0.0001710369,0,24.06839
4457676695370225664,GALAXY,null,0.6540467,0,2.160351
4457676970248132608,STAR,K3V (32147),1.735498E-05,0,10.12197
4457677245126039552,GALAXY,null,0.4475438,0,2.663362
4457677520003946496,QSO,BROADLINE,1.064104,0,11.34418
4457677794881853440,GALAXY,null,0.4447765,0,4.217833
4457678344637667328,GALAXY,null,0.4829048,0,2.426191
4457678619515574272,STAR,A8V (155514),-0.0007016884,0,5.397452
4457678894393481216,GALAXY,null,0.6313682,0,1.799753
4457679444149295104,GALAXY,null,0.519034,0,2.806921
4457679719027202048,QSO,BROADLINE,2.405466,0,19.79756
4457679993905108992,GALAXY,null,0.4546006,0,3.280295
4457681093416736768,GALAXY,null,0.6231146,0,1.539516
4457681643172550656,GALAXY,null,0.5045471,0,2.733375
4457682192928364544,GALAXY,null,0.4493494,0,2.467435
4457682467806271488,STAR,A2II (39866),-0.000733856,0,12.96536
4457682742684178432,GALAXY,null,0.4913241,0,4.367091
4457683017562085376,STAR,F3/F5V (30743),9.024685E-05,0,3.471244
4457683567317899264,QSO,BROADLINE,3.476447,0,8.773694
4457683842195806208,GALAXY,null,0.4527466,0,2.545142
4457684117073713152,QSO,BROADLINE,2.292871,0,2.737568
4457684391951620096,GALAXY,null,0.4723603,0,2.599767
4457684666829527040,GALAXY,null,0.4546361,0,2.892171
4457684941707433984,GALAXY,null,0.5992609,0,2.073799
4457685216585340928,QSO,BROADLINE,2.629831,0,3.369141
4457685491463247872,GALAXY,null,0.5133474,0,2.172327
4457685766341154816,STAR,F0II (25291),-0.0008674143,0,1.954364
4457686041219061760,GALAXY,null,0.6470586,0,1.859578
4457686590974875648,GALAXY,null,0.4680522,0,3.270936
4457687140730689536,GALAXY,null,0.4536838,0,3.440291
4457687415608596480,QSO,null,1.313362,0,4.375982
4457687690486503424,GALAXY,null,0.540997,0,2.112141
4457687965364410368,GALAXY,null,0.07348981,0,39.2245
4457688240242317312,GALAXY,null,0.463493,0,2.385244
4457688515120224256,STAR,F3/F5V (30743),-0.0001228698,0,22.75772
3097439500473755648,STAR,F9,-0.0001056902,0,19.97537
3097440050229569536,GALAXY,null,0.04357939,0,28.73486
3097440325107476480,GALAXY,null,0.3241985,0,4.758935
3097440599985383424,GALAXY,null,0.4214435,0,2.085176
3097440874863290368,STAR,K3,1.207994E-05,0,4.119399
3097441149741197312,GALAXY,STARBURST,0.05073706,0,25.36042
3097441424619104256,STAR,G0,-0.000196174,0,23.15351
3097441699497011200,QSO,null,1.803184,0,6.029548
3097441974374918144,GALAXY,null,0.3000529,0,5.211915
3097442249252825088,GALAXY,null,0.1155475,0,14.59477
3097442524130732032,GALAXY,null,0.1223455,0,11.60196
3097442799008638976,GALAXY,BROADLINE,0.02043252,0,36.5104
3097443073886545920,GALAXY,null,0.1074569,0,17.45565
3097443623642359808,STAR,K5,-0.000155246,0,39.05371
3097443898520266752,GALAXY,null,0.08228666,0,14.94581
3097444173398173696,QSO,BROADLINE,1.076308,0,16.99961
3097444448276080640,GALAXY,null,0.3763291,0,3.990586
3097444723153987584,GALAXY,null,0.5018341,0,2.06282
3097444998031894528,GALAXY,null,0.1424408,0,10.27621
3097445272909801472,GALAXY,null,0.132693,0,15.88523
3097445547787708416,QSO,BROADLINE,0.5754169,0,10.3626
3097445822665615360,GALAXY,STARFORMING,0.1038703,0,18.38922
3097446097543522304,GALAXY,STARFORMING,0.07136735,0,8.628027
3097446372421429248,GALAXY,null,0.1862097,0,13.86018
3097446647299336192,GALAXY,STARBURST,0.113984,0,22.41647
3097446922177243136,GALAXY,null,0.1328425,0,10.9938
3097447197055150080,GALAXY,null,0.07511498,0,20.33761
3097447746810963968,STAR,F5,-0.0001565466,0,36.38432
3097448021688870912,GALAXY,null,0.0794057,0,15.20986
3097448296566777856,GALAXY,STARFORMING,0.08198101,0,13.65055
3097448571444684800,GALAXY,STARFORMING,0.1043413,0,16.61694
3097448846322591744,GALAXY,null,0.1141571,0,18.77388
3097449121200498688,GALAXY,null,0.2084861,0,7.51795
3097449396078405632,QSO,BROADLINE,1.698205,0,8.228445
3097449670956312576,GALAXY,STARBURST,0.1129716,0,11.7881
3097449945834219520,GALAXY,null,0.2252138,0,10.78969
3097450220712126464,GALAXY,null,0.03452525,0,14.41905
3097450495590033408,QSO,BROADLINE,1.449262,0,9.287113
3097450770467940352,GALAXY,STARFORMING,0.0328721,0,15.07747
3097451045345847296,GALAXY,null,0.1751946,0,13.26433
3097451320223754240,GALAXY,null,0.1162668,0,17.42212
3097451595101661184,GALAXY,STARFORMING,0.0553416,0,11.86003
3097451869979568128,GALAXY,STARBURST,0.1165599,0,12.22495
3097452144857475072,QSO,BROADLINE,1.570756,0,14.05713
3097452419735382016,GALAXY,null,0.09929028,0,20.04749
3097452694613288960,GALAXY,STARFORMING,0.03558034,0,19.14943
3097452969491195904,GALAXY,STARBURST,0.03499692,0,5.446187
3097453244369102848,GALAXY,STARFORMING,0.02105334,0,11.60014
3097453519247009792,GALAXY,STARFORMING,0.03488947,0,33.22332
3097453794124916736,GALAXY,null,0.1072198,0,16.52787
3097454069002823680,GALAXY,STARFORMING,0.03488535,0,13.55008
3097454618758637568,GALAXY,AGN BROADLINE,0.08891323,0,12.92379
3097454893636544512,GALAXY,STARFORMING,0.1033425,0,7.523103
3097455168514451456,QSO,BROADLINE,1.475635,0,7.508865
3097455443392358400,GALAXY,STARFORMING,0.04418305,0,28.39262
3097455718270265344,GALAXY,AGN,0.04378635,0,22.84557
